id,pack_sha256,pack_dimensions,pack_bbox,measured_bbox_alpha32,pack_anchor,pack_shadow,baseline_state,baseline_sha256,baseline_dimensions,baseline_bbox,baseline_anchor,baseline_shadow,zip_copy
fleurs_plante_tournesol_recoltable_ordinaire_00.png,d2ed91601ce5dfe828b1b68827cf58a89c91112953ab9bac8b30c17daa93b333,304x324,"[9, 9, 295, 315]","[9, 9, 295, 315]","[152, 314]",separate_contact,changed,bb14895e395710f00aa5b9cc3f7553137806e504a8f5e031fe78b1c65e9c8fa2,1297x1212,"[180, 90, 1138, 1109]",,,True
fleurs_plante_tulipe_adulte_sans_production_ordinaire_00.png,dd55143190877e2d3d475edbc74639aea4e12c2c3f5f26f37a2a546c2721c560,284x296,"[9, 9, 275, 287]","[9, 9, 275, 287]","[142, 286]",separate_contact,changed,c61fc8041427a422562fc3451917a96ee846c39a389fcad53bd8e893ee8774aa,1774x887,"[508, 62, 1274, 858]",,,True
fleurs_plante_tulipe_jeune_ordinaire_00.png,1e0a8e19d2074e61452384b55a9a006953f1957c59e18008e7b856448773852c,172x196,"[9, 9, 164, 188]","[9, 9, 164, 188]","[86, 186]",separate_contact,changed,60ebd0ce0ddb2d5de8dd4b3fa420cb0744cb7446c4743cb9f44e1d612eb2d271,1774x887,"[587, 116, 1188, 819]",,,True
fleurs_plante_tulipe_recoltable_ordinaire_00.png,59dbb09771c1f9e010b92c07e91b33a0963cc87e260d7c039c493e577290b709,284x300,"[9, 9, 275, 291]","[9, 9, 275, 291]","[142, 290]",separate_contact,changed,f55b400b6d33c63616cf5a6bfd1b7562ae746a5f20fc33e0a4b799e96dbff764,1774x887,"[509, 43, 1271, 856]",,,True
potager_decor_arrosoir_metal_statique_ordinaire_00.png,f4645d0f83d14e58824de8176c50d95a636325d87c8ac7ecafd61722ac3775ba,156x136,"[16, 34, 140, 124]","[16, 34, 140, 124]","[78, 123]",separate_contact,identical,f4645d0f83d14e58824de8176c50d95a636325d87c8ac7ecafd61722ac3775ba,156x136,"[16, 34, 140, 124]","[78, 123]",separate_contact,True
potager_decor_bac_potager_statique_ordinaire_00.png,0ea63ec24f135afb837634837bf17578be305f5c8cd7c756f1abad34474d6c80,260x208,"[24, 28, 233, 190]","[27, 31, 230, 187]","[130, 196]",separate_contact,new,,,,,,False
potager_decor_bac_potager_statique_ordinaire_01.png,589af45b5c330db102b717f64c0699d72611aa135bede424f974ae5d9c3a2dc7,260x232,"[24, 28, 233, 215]","[24, 31, 230, 215]","[130, 220]",separate_contact,new,,,,,,False
potager_decor_bac_potager_statique_ordinaire_02.png,3b20f85b612e756f45469608bded2630533a856f01470c688374c93d74d349d9,260x236,"[24, 28, 233, 220]","[27, 31, 230, 220]","[130, 224]",separate_contact,new,,,,,,False
potager_decor_bac_potager_statique_ordinaire_03.png,e7c94829b175d1293af1369f1d1173753eef68c49bfc98cc54518c3760cd7cf4,260x228,"[24, 28, 233, 210]","[27, 31, 230, 210]","[130, 216]",separate_contact,new,,,,,,False
potager_decor_caisse_semis_statique_ordinaire_00.png,5291a03154b1af35f393028a7cc098e2ee36934f58cc3bd12b14ca21831f9e5c,172x144,"[16, 25, 156, 132]","[16, 25, 156, 132]","[86, 131]",separate_contact,identical,5291a03154b1af35f393028a7cc098e2ee36934f58cc3bd12b14ca21831f9e5c,172x144,"[16, 25, 156, 132]","[86, 131]",separate_contact,True
potager_decor_coin_jardinage_statique_ordinaire_00.png,5d416c036ef7e3ecba0687cece6837a67b38995b1885e7ea76f08c3a4cf5bb80,276x212,"[24, 28, 251, 194]","[24, 28, 251, 194]","[138, 200]",separate_contact,new,,,,,,False
potager_decor_outils_jardin_statique_ordinaire_00.png,aad11f728b760e15f6a29400d38f6885dbc5a02237c31682660463ca9a38b9c8,268x184,"[24, 28, 241, 166]","[24, 28, 241, 166]","[134, 172]",separate_contact,new,,,,,,False
